symbol,status,entry_step,entry_date,entry_price,capital_at_entry,exit_step,exit_date,exit_price,holding_days,trade_return_pct,realized_pnl,capital_after_exit,unrealized_pct,unrealized_pnl,current_price,current_date
ABBV,CLOSED,44,2026-04-28 00:00:00,198.6699981689453,100000000.0,54.0,2026-05-12 00:00:00,204.58999633789062,10,2.9798148807103932,2979814.880710393,102979814.8807104,0.0,0.0,204.58999633789062,2026-05-12 00:00:00
ABBV,OPEN,55,2026-05-13 00:00:00,206.86000061035156,102979814.8807104,,,,4,,0.0,,3.335586327045122,3434980.6247773534,213.75999450683594,2026-05-19 00:00:00
ADM,OPEN,51,2026-05-07 00:00:00,78.4000015258789,100000000.0,,,,8,,0.0,,0.5994816098995209,599481.6098995209,78.8699951171875,2026-05-19 00:00:00
AEM,CLOSED,22,2026-03-26 00:00:00,186.38999938964844,100000000.0,32.0,2026-04-10 00:00:00,217.8000030517578,10,16.851764453546004,16851764.453546003,116851764.45354602,0.0,0.0,217.8000030517578,2026-04-10 00:00:00
AEM,OPEN,44,2026-04-28 00:00:00,193.5,116851764.45354602,,,,15,,0.0,,-10.387600053496392,-12138093.946888026,173.39999389648438,2026-05-19 00:00:00
AMAT,CLOSED,22,2026-03-26 00:00:00,358.364990234375,100000000.0,32.0,2026-04-10 00:00:00,402.5,10,12.315658886421964,12315658.886421964,112315658.88642196,0.0,0.0,402.5,2026-04-10 00:00:00
AMAT,CLOSED,33,2026-04-13 00:00:00,397.8450012207031,112315658.88642196,50.0,2026-05-06 00:00:00,421.0,17,5.820105495419231,6536889.8350649625,118852548.72148693,0.0,0.0,421.0,2026-05-06 00:00:00
AMAT,OPEN,51,2026-05-07 00:00:00,426.3550109863281,118852548.72148693,,,,8,,0.0,,-4.560754963154929,-5420573.514651345,406.9100036621094,2026-05-19 00:00:00
AMD,CLOSED,25,2026-03-31 00:00:00,198.0500030517578,100000000.0,41,2026-04-23 00:00:00,302.010009765625,16,52.491797582400736,52491797.58240073,152491797.5824007,0.0,0.0,302.010009765625,2026-04-23 00:00:00
AMGN,OPEN,22,2026-03-26 00:00:00,350.3299865722656,100000000.0,,,,37,,0.0,,-5.589012451900584,-5589012.451900584,330.75,2026-05-19 00:00:00
AVGO,CLOSED,22,2026-03-26 00:00:00,314.0199890136719,100000000.0,33.0,2026-04-13 00:00:00,369.6600036621094,11,17.71862193333656,17718621.93333656,117718621.93333656,0.0,0.0,369.6600036621094,2026-04-13 00:00:00
