date,symbol,close,eval_open,eval_high,eval_low,equity,benchmark_equity,position,cash,shares,entry_price,primary_fill_mode,market_value,unrealized_pnl,return_pct,benchmark_return_pct,alpha_pct,drawdown_pct,signal_action,signal_step,q_hold,q_long,q_close,q_hold_masked,q_long_masked,q_close_masked,equity_close_t,equity_open_t_plus_1,equity_hl2_t_plus_1,equity_primary_live
2026-03-25,ABBV,207.17999267578125,206.86000061035156,209.67999267578125,205.85499572753906,100000000.0,100000000.0,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,0.0,0.0,0.0,HOLD,21,0.37646484375,0.374267578125,0.3837890625,0.37646484375,0.374267578125,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-03-26,ABBV,211.1199951171875,207.19000244140625,211.4499969482422,205.75999450683594,100000000.0,101901729.21164836,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,1.9017292116483508,-1.9017292116483508,0.0,HOLD,22,0.3857421875,0.383056640625,0.392333984375,0.3857421875,0.383056640625,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-03-27,ABBV,209.39999389648438,211.4199981689453,213.49000549316406,209.1199951171875,100000000.0,101071532.6282385,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,1.0715326282384918,-1.0715326282384918,0.0,HOLD,23,0.391357421875,0.38818359375,0.3974609375,0.391357421875,0.38818359375,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-03-30,ABBV,213.1199951171875,212.25999450683594,213.94000244140625,210.77999877929688,100000000.0,102867073.39096293,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,2.8670733909629265,-2.8670733909629265,0.0,HOLD,24,0.403076171875,0.3994140625,0.40966796875,0.403076171875,0.3994140625,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-03-31,ABBV,217.49000549316406,215.05999755859375,219.1699981689453,214.85000610351562,100000000.0,104976355.43095954,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,4.976355430959534,-4.976355430959534,0.0,HOLD,25,0.408447265625,0.404296875,0.41455078125,0.408447265625,0.404296875,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-01,ABBV,214.97999572753906,218.3699951171875,220.4499969482422,213.75,100000000.0,103764843.77232513,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,3.7648437723251327,-3.7648437723251327,0.0,HOLD,26,0.4150390625,0.410400390625,0.4208984375,0.4150390625,0.410400390625,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-02,ABBV,208.83999633789062,213.99000549316406,214.55999755859375,207.7100067138672,100000000.0,100801237.43642908,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,0.8012374364290809,-0.8012374364290809,0.0,HOLD,27,0.416015625,0.411376953125,0.421142578125,0.416015625,0.411376953125,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-06,ABBV,206.69000244140625,207.0399932861328,209.0,205.3000030517578,100000000.0,99763495.38966256,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,-0.2365046103374402,0.2365046103374402,0.0,HOLD,28,0.431640625,0.42578125,0.43701171875,0.431640625,0.42578125,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-07,ABBV,206.3699951171875,206.22999572753906,206.49000549316406,201.6634063720703,100000000.0,99609036.78577626,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,-0.3909632142237385,0.3909632142237385,0.0,HOLD,29,0.4287109375,0.423095703125,0.433837890625,0.4287109375,0.423095703125,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-08,ABBV,211.58999633789062,206.25999450683594,212.22000122070312,204.55999755859375,100000000.0,102128585.6829866,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,2.1285856829865946,-2.1285856829865946,0.0,HOLD,30,0.43310546875,0.42724609375,0.438720703125,0.43310546875,0.42724609375,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-09,ABBV,210.6523895263672,207.7564239501953,211.75326538085938,207.02252197265625,100000000.0,101676029.04399168,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,1.6760290439916892,-1.6760290439916892,0.0,HOLD,31,0.453369140625,0.4462890625,0.457763671875,0.453369140625,0.4462890625,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-10,ABBV,206.22909545898438,211.79293823242188,212.33840942382812,206.0406494140625,100000000.0,99541028.45331936,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,-0.4589715466806421,0.4589715466806421,0.0,HOLD,32,0.471923828125,0.463623046875,0.475830078125,0.471923828125,0.463623046875,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-13,ABBV,204.7711944580078,204.73150634765625,206.36795043945312,201.3396453857422,100000000.0,98837340.33066456,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,-1.1626596693354418,1.1626596693354418,0.0,HOLD,33,0.46923828125,0.4609375,0.4736328125,0.46923828125,0.4609375,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-14,ABBV,208.52999877929688,203.11492919921875,208.68869018554688,202.38101196289062,100000000.0,100651610.26703398,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,0.6516102670339752,-0.6516102670339752,0.0,HOLD,34,0.4853515625,0.47607421875,0.48779296875,0.4853515625,0.47607421875,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-15,ABBV,208.4199981689453,208.99000549316406,209.82000732421875,205.5449981689453,100000000.0,100598516.042572,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,0.5985160425720171,-0.5985160425720171,0.0,HOLD,35,0.4873046875,0.478515625,0.49072265625,0.4873046875,0.478515625,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-16,ABBV,208.99000549316406,207.77999877929688,209.66000366210938,206.52000427246094,100000000.0,100873642.66887264,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,0.8736426688726429,-0.8736426688726429,0.0,HOLD,36,0.4970703125,0.48681640625,0.4990234375,0.4970703125,0.48681640625,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-17,ABBV,208.3800048828125,209.66000366210938,212.35000610351562,207.82000732421875,100000000.0,100579212.39958203,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,0.5792123995820297,-0.5792123995820297,0.0,HOLD,37,0.50341796875,0.4931640625,0.50732421875,0.50341796875,0.4931640625,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-20,ABBV,203.7100067138672,207.94000244140625,208.3300018310547,202.83999633789062,100000000.0,98325134.6246815,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,-1.6748653753185017,1.6748653753185017,0.0,HOLD,38,0.492919921875,0.483154296875,0.496337890625,0.492919921875,0.483154296875,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-21,ABBV,205.1199951171875,204.00999450683594,206.1999969482422,200.9199981689453,100000000.0,99005696.67370465,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,-0.9943033262953427,0.9943033262953427,0.0,HOLD,39,0.4775390625,0.46875,0.4814453125,0.4775390625,0.46875,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-22,ABBV,200.5,205.1699981689453,205.99000549316406,199.80999755859375,100000000.0,96775753.97628532,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,-3.224246023714672,3.224246023714672,0.0,HOLD,40,0.48486328125,0.480224609375,0.488037109375,0.48486328125,0.480224609375,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-23,ABBV,200.9499969482422,201.0500030517578,202.75999450683594,200.40499877929688,100000000.0,96992954.94363278,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,-3.007045056367219,3.007045056367219,0.0,HOLD,41,0.462890625,0.462158203125,0.4658203125,0.462890625,0.462158203125,-inf,100000000.0,100000000.0,100000000.0,100000000.0
