symbol,as_of,stance,position,current_price,entry_price,days_in_trade,unrealized_pct,unrealized_pnl,realized_pnl,current_equity,benchmark_equity,total_return_pct,benchmark_return_pct,alpha_pct,max_drawdown_pct,time_in_market_pct,last_signal_action,saved_model_last_trained_date
AEM,2026-05-21,LONG,1,177.75,193.5,17,-8.139534883720888,-9062988.116734346,11345282.577021971,102282294.46028763,91907965.671984,2.282294460287626,-8.092034328015995,10.374328788303622,-12.002034401928663,71.7948717948718,HOLD,2025-08-21
NFLX,2026-05-21,LONG,1,89.30000305175781,88.02999877929688,0,1.4426948654685272,1442694.8654685435,0.0,101442694.86546855,95579581.2480703,1.4426948654685523,-4.4204187519297005,5.863113617398253,0.0,2.564102564102564,HOLD,2025-08-21
ABBV,2026-05-21,LONG,1,214.5,206.86000061035156,6,3.6933188470976366,3803372.9116955516,2979814.880710393,106783187.79240593,103285351.37845716,6.7831877924059425,3.2853513784571575,3.497836413948785,-4.623321944841341,43.58974358974359,HOLD,2025-08-21
LLY,2026-05-21,LONG,1,1041.6500244140625,947.3692016601562,8,9.951856423946417,10928270.369748004,9811374.925507382,120739645.2952554,118810706.2501997,20.739645295255382,18.810706250199715,1.9289390450556674,-10.741048154843813,92.3076923076923,HOLD,2025-08-21
MPC,2026-05-21,LONG,1,248.42999267578125,247.9038848876953,8,0.2122224862769985,212222.48627699938,0.0,100212222.486277,98994929.34808978,0.2122224862769917,-1.0050706519102115,1.2172931381872032,-5.186625794866928,23.076923076923077,HOLD,2025-08-21
DUK,2026-05-21,LONG,1,124.66000366210938,125.95161437988281,11,-1.0254816693955178,-1012999.7297377449,-1217178.232463047,97769822.03779921,96728383.9527163,-2.2301779622007856,-3.2716160472836986,1.041438085082913,-6.245423468441292,56.41025641025641,HOLD,2025-08-21
NVDA,2026-05-21,LONG,1,219.50999450683594,209.92999267578125,15,4.563426935307014,5750923.7008739365,26022039.62945679,131772963.33033071,131035093.66548039,31.772963330330704,31.035093665480385,0.7378696648503187,-8.086978272328116,94.87179487179486,HOLD,2025-08-21
LIN,2026-05-21,LONG,1,514.510009765625,508.7099914550781,2,1.1401424009693422,1188245.2426436644,4219020.504230261,105407265.74687393,104762586.51266201,5.407265746873935,4.762586512662015,0.6446792342119201,-3.4439542511778054,92.3076923076923,HOLD,2025-08-21
CSCO,2026-05-21,LONG,1,118.19999694824219,79.42959594726562,37,48.81102634176342,48811026.34176403,0.0,148811026.34176403,148699305.4298482,48.81102634176404,48.699305429848195,0.11172091191584599,-3.8105643371106557,97.43589743589743,HOLD,2025-08-18
AMGN,2026-05-21,LONG,1,337.4200134277344,349.19305419921875,37,-3.3714991263164364,-3371499.1263164463,0.0,96628500.87368354,97476284.5989188,-3.3714991263164573,-2.5237154010812057,-0.8477837252352516,-8.92857559756537,97.43589743589743,HOLD,2025-08-21
