date,symbol,close,eval_open,eval_high,eval_low,equity,benchmark_equity,position,cash,shares,entry_price,primary_fill_mode,market_value,unrealized_pnl,return_pct,benchmark_return_pct,alpha_pct,drawdown_pct,signal_action,signal_step,q_hold,q_long,q_close,q_hold_masked,q_long_masked,q_close_masked,equity_close_t,equity_open_t_plus_1,equity_hl2_t_plus_1,equity_primary_live
2026-03-27,ABBV,207.6770782470703,209.6804656982422,211.73342895507812,207.39938354492188,100000000.0,100000000.0,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,0.0,0.0,0.0,HOLD,21,0.391357421875,0.38818359375,0.3974609375,0.391357421875,0.38818359375,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-03-30,ABBV,211.36647033691406,210.5135498046875,212.1797332763672,209.0457305908203,100000000.0,101776504.23483641,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,1.776504234836418,-1.776504234836418,0.0,HOLD,22,0.403076171875,0.3994140625,0.40966796875,0.403076171875,0.3994140625,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-03-31,ABBV,215.7005157470703,213.29051208496094,217.36669921875,213.08224487304688,100000000.0,103863419.86690252,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,3.8634198669025066,-3.8634198669025066,0.0,HOLD,23,0.408447265625,0.404296875,0.41455078125,0.408447265625,0.404296875,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-01,ABBV,213.21116638183594,216.57327270507812,218.6361541748047,211.9912872314453,100000000.0,102664756.35225463,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,2.664756352254627,-2.664756352254627,0.0,HOLD,24,0.414794921875,0.41015625,0.4208984375,0.414794921875,0.41015625,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-02,ABBV,207.12168884277344,212.2293243408203,212.79461669921875,206.00099182128906,100000000.0,99732570.67704114,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,-0.26742932295885646,0.26742932295885646,0.0,HOLD,25,0.416015625,0.4111328125,0.421875,0.416015625,0.4111328125,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-06,ABBV,204.9893798828125,205.33648681640625,207.28036499023438,203.61082458496094,100000000.0,98705828.11211342,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,-1.294171887886586,1.294171887886586,0.0,HOLD,26,0.431640625,0.42578125,0.43701171875,0.431640625,0.42578125,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-07,ABBV,204.67201232910156,204.5331573486328,204.79103088378906,200.004150390625,100000000.0,98553010.30651362,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,-1.446989693486378,1.446989693486378,0.0,HOLD,27,0.428466796875,0.423095703125,0.43408203125,0.428466796875,0.423095703125,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-08,ABBV,209.84906005859375,204.5629119873047,210.473876953125,202.8769073486328,100000000.0,101045845.70904809,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,1.0458457090480877,-1.0458457090480877,0.0,HOLD,28,0.43310546875,0.427001953125,0.438232421875,0.43310546875,0.427001953125,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-09,ABBV,210.6523895263672,207.7564239501953,211.75326538085938,207.02252197265625,100000000.0,101432662.3353961,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,1.4326623353960954,-1.4326623353960954,0.0,HOLD,29,0.452880859375,0.445556640625,0.457763671875,0.452880859375,0.445556640625,-inf,100000000.0,100000000.0,100000000.0,100000000.0
2026-04-10,ABBV,206.22909545898438,211.79293823242188,212.33840942382812,206.0406494140625,100000000.0,99302771.97642231,0,100000000.0,0.0,,open_t_plus_1,0.0,0.0,0.0,-0.6972280235776895,0.6972280235776895,0.0,HOLD,30,0.471923828125,0.463134765625,0.475830078125,0.471923828125,0.463134765625,-inf,100000000.0,100000000.0,100000000.0,100000000.0
