symbol,status,entry_step,entry_date,entry_price,capital_at_entry,exit_step,exit_date,exit_price,holding_days,trade_return_pct,realized_pnl,capital_after_exit,unrealized_pct,unrealized_pnl,current_price,current_date
GS,CLOSED,22,2026-03-30 00:00:00,811.1199951171875,100000000.0,32,2026-04-14 00:00:00,894.4199829101562,10,10.269749025350288,10269749.025350288,110269749.02535029,0.0,0.0,894.4199829101562,2026-04-14 00:00:00
GS,CLOSED,33,2026-04-15 00:00:00,915.0,110269749.02535029,44,2026-04-30 00:00:00,910.4099731445312,11,-0.5016422792862013,-553159.682373941,109716589.34297635,0.0,0.0,910.4099731445312,2026-04-30 00:00:00
GS,CLOSED,48,2026-05-06 00:00:00,935.9299926757812,109716589.34297635,58,2026-05-20 00:00:00,945.0,10,0.9690903588085588,1063252.8893363625,110779842.23231272,0.0,0.0,945.0,2026-05-20 00:00:00
INTC,CLOSED,22,2026-03-30 00:00:00,43.720001220703125,100000000.0,32.0,2026-04-14 00:00:00,65.16000366210938,10,49.039345477542135,49039345.47754213,149039345.47754213,0.0,0.0,65.16000366210938,2026-04-14 00:00:00
INTC,OPEN,40,2026-04-24 00:00:00,82.19999694824219,149039345.47754213,,,,19,,0.0,,44.16058929371241,65816653.24237453,118.5,2026-05-21 00:00:00
JPM,CLOSED,35,2026-04-17 00:00:00,312.4700012207031,100000000.0,45.0,2026-05-01 00:00:00,313.95001220703125,10,0.4736489840772897,473648.98407728976,100473648.98407729,0.0,0.0,313.95001220703125,2026-05-01 00:00:00
JPM,CLOSED,46,2026-05-04 00:00:00,310.6199951171875,100473648.98407729,56.0,2026-05-18 00:00:00,298.0,10,-4.062840549729044,-4082084.1527175163,96391564.83135977,0.0,0.0,298.0,2026-05-18 00:00:00
JPM,OPEN,59,2026-05-21 00:00:00,301.2300109863281,96391564.83135977,,,,0,,0.0,,0.5875872088163895,566384.5053270274,303.0,2026-05-21 00:00:00
KO,CLOSED,24,2026-04-01 00:00:00,76.1500015258789,100000000.0,34,2026-04-16 00:00:00,75.02999877929688,10,-1.4707849299272895,-1470784.9299272895,98529215.07007271,0.0,0.0,75.02999877929688,2026-04-16 00:00:00
KO,CLOSED,37,2026-04-21 00:00:00,75.4749984741211,98529215.07007271,50,2026-05-08 00:00:00,78.56500244140625,13,4.09407622359165,4033861.167475328,102563076.23754805,0.0,0.0,78.56500244140625,2026-05-08 00:00:00
LIN,CLOSED,22,2026-03-30 00:00:00,495.8500061035156,100000000.0,55.0,2026-05-15 00:00:00,516.77001953125,33,4.219020504230261,4219020.504230261,104219020.50423026,0.0,0.0,516.77001953125,2026-05-15 00:00:00
LIN,OPEN,57,2026-05-19 00:00:00,508.7099914550781,104219020.50423026,,,,2,,0.0,,1.1401424009693422,1188245.2426436618,514.510009765625,2026-05-21 00:00:00
LLY,CLOSED,22,2026-03-30 00:00:00,886.9531860351562,100000000.0,32.0,2026-04-14 00:00:00,923.410400390625,10,4.11038766526553,4110387.6652655303,104110387.66526553,0.0,0.0,923.410400390625,2026-04-14 00:00:00
LLY,CLOSED,33,2026-04-15 00:00:00,921.9130249023438,104110387.66526553,50.0,2026-05-08 00:00:00,972.3961181640625,17,5.47590628379139,5700987.260241851,109811374.9255074,0.0,0.0,972.3961181640625,2026-05-08 00:00:00
LLY,OPEN,51,2026-05-11 00:00:00,947.3692016601562,109811374.9255074,,,,8,,0.0,,9.951856423946417,10928270.369747993,1041.6500244140625,2026-05-21 00:00:00
LRCX,CLOSED,22,2026-03-30 00:00:00,214.55499267578125,100000000.0,41.0,2026-04-27 00:00:00,267.760009765625,19,24.797846196123256,24797846.196123257,124797846.19612326,0.0,0.0,267.760009765625,2026-04-27 00:00:00
LRCX,OPEN,52,2026-05-12 00:00:00,287.2149963378906,124797846.19612326,,,,7,,0.0,,5.231270681565787,6528513.139283359,302.239990234375,2026-05-21 00:00:00
MCD,CLOSED,22,2026-03-30 00:00:00,308.70001220703125,100000000.0,44,2026-04-30 00:00:00,290.54998779296875,22,-5.879502331179067,-5879502.3311790675,94120497.66882093,0.0,0.0,290.54998779296875,2026-04-30 00:00:00
META,CLOSED,24,2026-04-01 00:00:00,580.1300048828125,100000000.0,47,2026-05-05 00:00:00,613.3099975585938,23,5.719406408307344,5719406.408307344,105719406.40830734,0.0,0.0,613.3099975585938,2026-05-05 00:00:00
MPC,OPEN,51,2026-05-11 00:00:00,247.9038848876953,100000000.0,,,,8,,0.0,,0.2122224862769985,212222.4862769985,248.42999267578125,2026-05-21 00:00:00
MRK,CLOSED,31,2026-04-13 00:00:00,121.02999877929688,100000000.0,41,2026-04-27 00:00:00,111.22000122070312,10,-8.105426470740259,-8105426.470740258,91894573.52925974,0.0,0.0,111.22000122070312,2026-04-27 00:00:00
MU,CLOSED,31,2026-04-13 00:00:00,416.4700012207031,100000000.0,41,2026-04-27 00:00:00,510.55999755859375,10,22.592262602854014,22592262.602854013,122592262.60285401,0.0,0.0,510.55999755859375,2026-04-27 00:00:00
NFLX,OPEN,59,2026-05-21 00:00:00,88.02999877929688,100000000.0,,,,0,,0.0,,1.4426948654685272,1442694.8654685272,89.30000305175781,2026-05-21 00:00:00
NSC,CLOSED,22,2026-03-30 00:00:00,284.9671325683594,100000000.0,55,2026-05-15 00:00:00,316.1499938964844,33,10.942616801832289,10942616.801832289,110942616.80183229,0.0,0.0,316.1499938964844,2026-05-15 00:00:00
NVDA,CLOSED,22,2026-03-30 00:00:00,168.77999877929688,100000000.0,43.0,2026-04-29 00:00:00,212.6999969482422,21,26.02203962945679,26022039.62945679,126022039.62945679,0.0,0.0,212.6999969482422,2026-04-29 00:00:00
NVDA,OPEN,44,2026-04-30 00:00:00,209.92999267578125,126022039.62945679,,,,15,,0.0,,4.563426935307014,5750923.7008739095,219.50999450683594,2026-05-21 00:00:00
PANW,CLOSED,23,2026-03-31 00:00:00,155.02999877929688,100000000.0,57,2026-05-19 00:00:00,246.9600067138672,34,59.2982059333196,59298205.933319606,159298205.9333196,0.0,0.0,246.9600067138672,2026-05-19 00:00:00
PLTR,CLOSED,33,2026-04-15 00:00:00,136.7899932861328,100000000.0,43,2026-04-29 00:00:00,139.75999450683594,10,2.1712123448171914,2171212.3448171914,102171212.34481719,0.0,0.0,139.75999450683594,2026-04-29 00:00:00
PLTR,CLOSED,44,2026-04-30 00:00:00,138.47500610351562,102171212.34481719,54,2026-05-14 00:00:00,129.64999389648438,10,-6.373000049145477,-6511371.41294773,95659840.93186946,0.0,0.0,129.64999389648438,2026-05-14 00:00:00
QQQ,OPEN,22,2026-03-30 00:00:00,567.3800048828125,100000000.0,,,,37,,0.0,,25.93147513423577,25931475.13423577,714.510009765625,2026-05-21 00:00:00
RKLB,CLOSED,32,2026-04-14 00:00:00,73.55500030517578,100000000.0,58,2026-05-20 00:00:00,127.4800033569336,26,73.31249109921262,73312491.09921262,173312491.09921262,0.0,0.0,127.4800033569336,2026-05-20 00:00:00
RTX,CLOSED,24,2026-04-01 00:00:00,193.66329956054688,100000000.0,34,2026-04-16 00:00:00,197.5869598388672,10,2.026021598941937,2026021.598941937,102026021.59894194,0.0,0.0,197.5869598388672,2026-04-16 00:00:00
RTX,CLOSED,38,2026-04-22 00:00:00,186.9661865234375,102026021.59894194,52,2026-05-12 00:00:00,177.85914611816406,14,-4.870955852828404,-4969642.470481634,97056379.1284603,0.0,0.0,177.85914611816406,2026-05-12 00:00:00
SLB,CLOSED,41,2026-04-27 00:00:00,56.1150016784668,100000000.0,51.0,2026-05-11 00:00:00,53.665000915527344,10,-4.36603526625146,-4366035.26625146,95633964.73374854,0.0,0.0,53.665000915527344,2026-05-11 00:00:00
SLB,OPEN,54,2026-05-14 00:00:00,55.400001525878906,95633964.73374854,,,,5,,0.0,,3.339347334235855,3193550.25196049,57.25,2026-05-21 00:00:00
STLD,OPEN,22,2026-03-30 00:00:00,172.1073455810547,100000000.0,,,,37,,0.0,,34.70662484228731,34706624.84228731,231.83999633789062,2026-05-21 00:00:00
TJX,CLOSED,47,2026-05-05 00:00:00,154.50393676757812,100000000.0,57,2026-05-19 00:00:00,149.10000610351562,10,-3.4976006289028527,-3497600.6289028525,96502399.37109715,0.0,0.0,149.10000610351562,2026-05-19 00:00:00
TSLA,CLOSED,26,2026-04-06 00:00:00,362.5899963378906,100000000.0,44.0,2026-04-30 00:00:00,372.75,18,2.802063974385396,2802063.9743853956,102802063.97438541,0.0,0.0,372.75,2026-04-30 00:00:00
TSLA,CLOSED,45,2026-05-01 00:00:00,382.4849853515625,102802063.97438541,57.0,2026-05-19 00:00:00,403.1600036621094,12,5.40544573051498,5556909.777984695,108358973.7523701,0.0,0.0,403.1600036621094,2026-05-19 00:00:00
TSLA,OPEN,58,2026-05-20 00:00:00,407.6000061035156,108358973.7523701,,,,1,,0.0,,2.51472027637724,2724925.084225142,417.8500061035156,2026-05-21 00:00:00
VZ,CLOSED,22,2026-03-30 00:00:00,50.11674499511719,100000000.0,32.0,2026-04-14 00:00:00,44.77000045776367,10,-10.668579010616988,-10668579.010616988,89331420.98938301,0.0,0.0,44.77000045776367,2026-04-14 00:00:00
VZ,CLOSED,35,2026-04-17 00:00:00,46.11000061035156,89331420.98938301,45.0,2026-05-01 00:00:00,48.28499984741211,10,4.716979415030121,4213744.739223093,93545165.72860612,0.0,0.0,48.28499984741211,2026-05-01 00:00:00
VZ,CLOSED,46,2026-05-04 00:00:00,47.81999969482422,93545165.72860612,56.0,2026-05-18 00:00:00,46.599998474121094,10,-2.5512363623774226,-2386558.2833144222,91158607.4452917,0.0,0.0,46.599998474121094,2026-05-18 00:00:00
VZ,OPEN,59,2026-05-21 00:00:00,47.61000061035156,91158607.4452917,,,,0,,0.0,,1.3862630517769738,1263698.0935284924,48.27000045776367,2026-05-21 00:00:00
