Date,primary_live,open_positions,symbols_reporting,close_t,open_t_plus_1,hl2_t_plus_1,aggregate_initial_cash,model_symbol_allocation,portfolio_return_pct,drawdown_pct,benchmark_SPY,benchmark_DIA,benchmark_IWF,benchmark_QQQ
2026-03-27,1000000.0,0,45,1000000.0,1000000.0,1000000.0,1000000.0,22222.222222222223,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0
2026-03-30,992957.6977817966,20,45,997455.8848305094,992957.6977817966,996109.290035668,1000000.0,22222.222222222223,-0.7042302218203456,-0.7042302218203456,996656.5376168154,1001484.2932096613,995397.4130769091,992356.664541318
2026-03-31,1006936.1726524651,22,45,1011923.757402046,1006936.1726524651,1009590.4307969561,1000000.0,22222.222222222223,0.6936172652465045,0.0,1025627.2757995985,1026141.4399532236,1032920.7054535099,1025951.8204387374
2026-04-01,1014144.0136685761,25,45,1019752.3923786437,1014144.0136685761,1016840.675181917,1000000.0,22222.222222222223,1.4144013668576205,0.0,1033354.8273638549,1031214.6868759189,1041907.8701952058,1038625.5817992904
2026-04-02,1018422.6652496452,27,45,1022267.0132368233,1018422.6652496452,1020159.828243393,1000000.0,22222.222222222223,1.842266524964531,0.0,1034285.3369610405,1030284.1697723379,1041738.3568426841,1039816.4931182208
2026-04-06,1018906.6778964456,28,45,1022855.9653688851,1018906.6778964456,1020981.3926700447,1000000.0,22222.222222222223,1.8906677896445512,0.0,1039174.1941495232,1034072.4910044374,1045856.4298048387,1046073.41555471
2026-04-07,1022293.8647570397,28,45,1026257.0992464846,1022293.8647570397,1024398.5407970024,1000000.0,22222.222222222223,2.229386475703965,0.0,1039631.5078038347,1032100.8098544129,1046413.6134672704,1046233.4405337956
2026-04-08,1044995.5602255929,29,45,1050114.1405203375,1044995.5602255929,1047383.4642992149,1000000.0,22222.222222222223,4.499556022559292,0.0,1066110.4592955715,1061521.0537108006,1073496.2731458172,1077340.1266378013
2026-04-09,1051914.8724283145,29,45,1057061.8619133134,1051914.8724283145,1054394.8663586602,1000000.0,22222.222222222223,5.19148724283145,0.0,1072260.9477336984,1067591.1382288232,1078486.4564523671,1084627.9354141355
2026-04-10,1051524.6938731733,30,45,1056557.5107479265,1051524.6938731733,1054391.882446585,1000000.0,22222.222222222223,5.152469387317327,-0.03709221776098115,1071551.346331976,1061720.421229866,1081030.0438576064,1086192.166023258
2026-04-13,1056130.2254233959,32,45,1060936.5160283402,1056130.2254233959,1059130.0662400657,1000000.0,22222.222222222223,5.613022542339596,0.0,1082022.9723346897,1068100.7232317296,1095952.1719517426,1097426.1365380858
2026-04-14,1062568.776964719,24,45,1068564.2407945585,1062568.776964719,1065503.4176395293,1000000.0,22222.222222222223,6.256877696471896,0.0,1095207.293223913,1075544.3863425804,1115694.8960734557,1117352.1214592846
2026-04-15,1063964.5254676088,27,45,1070763.3575101227,1063964.5254676088,1066918.216169156,1000000.0,22222.222222222223,6.396452546760889,0.0,1103849.5683530867,1073838.5285513098,1135897.886280123,1132994.427550508
2026-04-16,1069490.0581941414,26,45,1076645.1823070254,1069490.0581941414,1072429.6192701044,1000000.0,22222.222222222223,6.9490058194141335,0.0,1106562.0707270075,1075854.5361524504,1136673.079047041,1138451.333583081
2026-04-17,1080795.816194146,28,45,1085962.5229523985,1080795.816194146,1082663.8171068092,1000000.0,22222.222222222223,8.0795816194146,0.0,1119935.631490863,1095349.918419028,1154066.0509184697,1153347.0010939199
2026-04-20,1080101.7030719053,29,45,1085314.233608586,1080101.7030719053,1082158.4659620025,1000000.0,22222.222222222223,8.010170307190535,-0.06422241017594033,1117696.1325472274,1095593.6800631802,1149996.3997818283,1149685.304097909
2026-04-21,1077713.6743998781,30,45,1082229.0496960355,1077713.6743998781,1079551.8198431868,1000000.0,22222.222222222223,7.7713674399878085,-0.2851733646713317,1110378.632796772,1089011.168235462,1141590.592652095,1145312.6622287128
2026-04-22,1090935.222451658,31,45,1095678.376259673,1090935.222451658,1093304.3601096396,1000000.0,22222.222222222223,9.093522245165797,0.0,1121623.1005865762,1096546.7325991609,1160025.188220441,1164474.3244531946
2026-04-23,1082934.0206698396,30,45,1088094.7271711605,1082934.0206698396,1085519.9119876649,1000000.0,22222.222222222223,8.293402066983969,-0.7334259282450573,1117270.3909574526,1092646.0049009488,1145926.6747187357,1157915.2531578895
2026-04-24,1084825.3309629352,30,45,1097573.6179271978,1084825.3309629352,1087177.9173676418,1000000.0,22222.222222222223,8.48253309629352,-0.5600599708378673,1125928.4521188946,1090895.0762448797,1160679.28946035,1180063.2527208857
2026-04-27,1086705.0601339648,28,45,1098905.8576671851,1086705.0601339648,1088944.9543453532,1000000.0,22222.222222222223,8.670506013396473,-0.38775559085779676,1127868.2089620193,1090052.8736736747,1162617.1974511934,1180685.3430463613
2026-04-28,1079787.5465100985,30,45,1091820.192180132,1079787.5465100985,1082602.1717141022,1000000.0,22222.222222222223,7.978754651009856,-1.0218458174360956,1122380.0600851038,1089144.2152627816,1153775.3721124884,1168811.4895982135
2026-04-29,1081115.904041522,27,45,1094110.2491189532,1081115.904041522,1082869.5924553578,1000000.0,22222.222222222223,8.111590404152192,-0.9000826270939455,1122206.6062427405,1083049.3620713106,1151134.9410562227,1175957.1744948174
