,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3605,2025-02-18,31.727646,32.733585,31.58638,32.706593,26690512.0,865381300.0,36.35,0.0,32.706593,32.007772354852584,1,33.811937713623045,0,35.01498224258423,0,0,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,32.78757,33.0665,32.64361,32.823563,25230126.0,829234560.0,36.48,0.0,32.823563,32.003487723214285,1,33.71697977239435,0,35.01131824493408,0,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,32.742584,33.035007,32.472652,32.76058,28729714.0,940829800.0,36.41,0.0,32.76058,31.979493822370255,1,33.622174488414416,0,35.00663656234741,0,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,32.891045,32.976524,32.56263,32.60762,23800930.0,778524500.0,36.24,0.0,32.60762,31.942217690604075,1,33.51436767578125,0,34.99974067687988,0,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,32.742584,33.102493,32.589622,32.661602,31254698.0,1023936060.0,36.3,0.0,32.661602,31.89208748227074,1,33.405919994007455,0,34.99399312973023,0,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,32.79657,33.273445,32.166733,32.256706,38093080.0,1237404900.0,35.85,0.0,32.256706,31.81624984741211,1,33.29708647294478,0,34.986221103668214,0,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,32.19372,32.238716,31.491905,31.58188,34632504.0,1096819700.0,35.1,0.0,31.58188,31.682141349429177,0,33.18101255243475,0,34.972615327835086,0,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,31.568384,31.919294,31.491905,31.842813,25842436.0,821349600.0,35.39,0.0,31.842813,31.589593614850724,1,33.06578930941495,0,34.96255422592163,0,0,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,32.076756,32.472652,31.964285,32.283703,29760568.0,958807740.0,35.88,0.0,32.283703,31.526181357247488,1,32.95274200439453,0,34.951315574645996,0,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,32.274704,32.612118,32.166733,32.373676,22056398.0,714466200.0,35.98,0.0,32.373676,31.643151237851097,1,32.907845028963955,0,34.93881383895874,0,0,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
