type,step,price,pnl_pct,time
open_short,20,59.02584,,
close_short,29,59.54327,-0.008967902854406344,9.0
open_short,31,59.943542,,
close_short,39,52.274986,0.12775523266114455,8.0
open_short,41,55.616497,,
close_short,49,54.67301,0.016767518763120673,8.0
open_short,51,55.734432,,
close_short,59,58.545235,-0.05064215053789945,8.0
open_short,61,58.741795,,
close_short,65,63.154552,-0.07533628850127305,4.0
open_short,67,62.8204,,
close_short,69,62.11279,0.011066286166903964,2.0
open_short,71,62.024338,,
close_short,79,63.50836,-0.024131264823816646,8.0
open_short,81,64.76634,,
close_short,89,65.179115,-0.006574540743880291,8.0
open_long,91,66.72211,,
close_long,109,67.56825,0.012479102019347276,18.0
open_short,111,67.8451,,
close_short,119,67.71656,0.0016949894142238465,8.0
open_long,121,68.42843,,
close_long,129,66.193954,-0.03284764851933602,8.0
open_short,131,66.35215,,
close_short,139,67.034355,-0.010483640268053821,8.0
open_short,141,67.222206,,
close_short,149,66.17418,0.015393606704567258,8.0
open_short,151,67.90442,,
close_short,159,67.647354,0.0035864433021197467,8.0
open_short,161,67.5386,,
close_short,169,68.294556,-0.011395224378782862,8.0
open_short,171,68.72226,,
close_short,179,72.233475,-0.051303055654114776,8.0
open_short,181,72.521935,,
close_short,189,71.328316,0.01626201947379418,8.0
open_short,192,77.58484,,
close_short,199,75.91378,0.021342776796601588,7.0
open_short,201,76.53049,,
close_short,209,79.82286,-0.043229023575306995,8.0
open_short,211,77.38591,,
close_short,219,77.60473,-0.0030281947991180943,8.0
open_short,221,77.37596,,
close_short,229,73.88,0.04499056285941536,8.0
open_long,239,77.01,,
close_long,251,85.54,0.11054266384845031,12.0
