episode,step,epsilon,action,equity,reward
0,21,1.0,2,299980.0,1.9992001599680065
0,22,1.0,2,300524.64756006154,2.004645546491317
0,23,1.0,0,300669.88954017765,2.006097675866603
0,24,1.0,2,302122.2935567406,2.020618811805045
0,25,1.0,2,301105.6075882269,2.010453985085252
0,26,1.0,3,98747.05618010325,-0.012731984595886724
0,27,1.0,1,98747.05618010325,0.0
0,28,1.0,2,296221.41912907374,1.999200159968007
0,29,1.0,0,296470.59610501805,2.001723041764704
0,30,1.0,1,296915.5555432911,2.0062281934258213
0,31,1.0,0,297858.86119623884,2.015779030342131
0,32,1.0,1,298001.2491449519,2.0172206882742723
0,33,1.0,2,297663.07873391017,2.0137967604777116
0,34,1.0,1,297182.52037415537,2.0089311747490086
0,35,1.0,3,99316.71809643524,0.005570014245232046
0,36,1.0,3,99316.71809643524,0.0
0,37,1.0,0,99316.71809643524,0.0
0,38,1.0,3,99316.71809643524,0.0
0,39,1.0,1,99296.85475281595,0.0
0,40,1.0,0,99347.0646027206,0.0005056539809808697
0,41,1.0,1,99095.98624603805,-0.0020229090566658073
0,42,1.0,1,98794.67620908134,-0.005057345924850357
0,43,1.0,0,98978.80809922438,-0.0032029881951780264
0,44,1.0,2,98794.67620908134,-0.005057345924850357
0,45,1.0,1,98828.15671914094,-0.004720169987677492
0,46,1.0,1,99648.37463967729,0.003540090849165273
0,47,1.0,3,99444.34990098435,0.0014853959728690575
0,48,1.0,2,99444.34990098435,0.0
0,49,1.0,2,298313.16083297285,1.9992001599680065
0,50,1.0,3,99579.93028311172,0.0011636121629173945
0,51,1.0,0,99579.93028311172,0.0
0,52,0.9995,3,99579.93028311172,0.0
0,53,0.9990002500000001,2,298719.8748632785,1.9992001599680058
0,54,0.9985007498750001,2,298186.55542556493,1.9938455388747935
0,55,0.9980014995000627,1,297790.8624679075,1.989872711882791
0,56,0.9975024987503127,2,296965.058714248,1.981581496739469
0,57,0.9970037475009376,1,295313.46616470313,1.9649992166315113
0,58,0.9965052456271871,2,294229.61089121655,1.9541171187760842
0,59,0.9960069930043736,3,103623.69459243077,0.040416309214827376
0,60,0.9955089895078715,0,103623.69459243077,0.0
0,61,0.9950112350131176,2,310850.3590383738,1.9992001599680063
0,62,0.9945137293956111,2,309918.98126381834,1.9902138799486462
0,63,0.9940164725309134,3,105833.89334545599,0.021133313236121526
0,64,0.993519464294648,1,105833.89334545599,0.0
0,65,0.9930227045625007,2,317480.51325769885,1.999200159968006
0,66,0.9925261932102195,0,318860.7631779134,2.012239214677304
0,67,0.9920299301136144,0,317803.9054125854,2.002255206694231
0,68,0.9915339151485576,2,318704.1925961175,2.0107601112540734
0,69,0.9910381481909833,2,317236.33177173726,1.9968934068881317
0,70,0.990542629116888,0,319350.0557533341,2.0168615026892986
0,71,0.9900473578023296,0,319467.4900278867,2.0179708901329874
0,72,0.9895523341234285,0,319173.9127924461,2.0151975013587866
0,73,0.9890575579563669,1,317901.75885710504,2.003179616395618
