episode,step,epsilon,action,equity,reward
0,21,1.0,0,100000.0,0.0
0,22,1.0,3,100000.0,0.0
0,23,1.0,2,100020.0,0.0
0,24,1.0,3,101958.65671680399,0.019390445257091327
0,25,1.0,0,101958.65671680399,0.0
0,26,1.0,1,101938.26498546063,0.0
0,27,1.0,2,103081.1154620184,0.01121120196347045
0,28,1.0,0,105792.59327893809,0.03781041686384599
0,29,1.0,1,105086.71536624584,0.030885854112136173
0,30,1.0,0,102969.07065199254,0.010112058182262955
0,31,1.0,0,100974.67742400299,-0.009452658053333278
0,32,1.0,3,101951.47966319017,0.0001296341244519594
0,33,1.0,0,101951.47966319017,0.0
0,34,1.0,1,101931.08936725753,0.0
0,35,1.0,1,101268.37180855304,-0.006501623428321472
0,36,1.0,3,101077.12473797488,-0.008377862285036687
0,37,1.0,3,101077.12473797488,0.0
0,38,1.0,1,101056.90931302728,0.0
0,39,1.0,2,104941.66314209944,0.038441249148427815
0,40,1.0,2,106467.81307157449,0.053543135203024554
0,41,1.0,2,108015.31199577457,0.06885627840837077
0,42,1.0,2,105614.02056167102,0.04509450446904055
0,43,1.0,3,104227.1071364573,0.03137042132973037
0,44,1.0,2,104227.1071364573,0.0
0,45,1.0,2,104247.9525578846,0.0
0,46,1.0,2,103222.15449591758,-0.009839982817863297
0,47,1.0,3,103733.46269995728,-0.00493722593498532
0,48,1.0,1,103733.46269995728,0.0
0,49,1.0,0,103733.46269995728,0.0
0,50,1.0,3,103733.46269995728,0.0
0,51,1.0,1,103712.71600741729,0.0
0,52,0.9999,1,101819.78449528324,-0.018251682002028275
0,53,0.9998000100000001,0,103434.35121214986,-0.002683998703182297
0,54,0.9997000299990001,2,105271.60612920788,0.015030848499610278
0,55,0.9996000599960002,0,105215.9386241882,0.014494101346872538
0,56,0.9995000999900007,2,109057.48733358867,0.051534387796662605
0,57,0.9994001499800017,0,108927.58133844884,0.05028183169611142
0,58,0.9993002099650037,3,107597.70750320228,0.03745916263061853
0,59,0.9992002799440072,0,107597.70750320228,0.0
0,60,0.9991003599160128,3,107597.70750320228,0.0
0,61,0.9990004498800211,2,107619.22704470293,0.0
0,62,0.9989005498350332,0,107232.73479497952,-0.0035912936780605766
0,63,0.9988006597800497,2,108797.54220902704,0.01094892796279484
0,64,0.9987007797140718,2,108514.75358782236,0.008321250465285755
0,65,0.9986009096361004,1,107034.78368358797,-0.0054306593455850745
0,66,0.9985010495451367,1,105931.86835246558,-0.015678970557337815
0,67,0.9984011994401822,0,105253.15903944332,-0.021985551004531895
0,68,0.9983013593202382,1,107392.99060702884,-0.0021021934823980265
0,69,0.9982015291843062,1,106035.55351194984,-0.014715525991422186
0,70,0.9981017090313877,1,105969.57288632506,-0.015328619278157799
0,71,0.9980018988604846,1,105630.21361255531,-0.018481952405413803
0,72,0.9979020986705985,0,104467.24621587129,-0.02928826860577962
0,73,0.9978023084607315,0,106329.88527969489,-0.011980589346478672
0,74,0.9977025282298854,0,100643.40386747626,-0.06484542080734583
0,75,0.9976027579770624,2,100643.40386747626,0.0
0,76,0.9975029977012647,3,100643.40386747626,0.0
0,77,0.9974032474014946,0,100643.40386747626,0.0
0,78,0.9973035070767544,1,100623.27518670275,0.0
0,79,0.9972037767260468,2,101288.90245274542,0.006615042740435703
0,80,0.9971040563483742,1,101392.64128703682,0.007646005349224991
0,81,0.9970043459427393,2,101133.30686577085,0.005068724687421976
0,82,0.9969046455081451,0,107659.98830233984,0.06993126692189981
0,83,0.9968049550435942,0,104055.18412310763,0.034106511938088786
0,84,0.9967052745480899,3,106359.30596354663,0.05700500968787676
0,85,0.9966056040206351,0,106359.30596354663,0.0
0,86,0.9965059434602331,1,106338.03410235392,0.0
0,87,0.9964062928658871,3,107787.91760059664,0.013634665249191649
0,88,0.9963066522366005,1,107787.91760059664,0.0
0,89,0.9962070215713769,0,107787.91760059664,0.0
0,90,0.9961074008692198,0,107787.91760059664,0.0
0,91,0.9960077901291329,0,107787.91760059664,0.0
0,92,0.9959081893501199,1,107766.36001707654,0.0
0,93,0.995808598531185,0,107791.94626297739,0.00023742330999019633
0,94,0.9957090176713319,0,105574.00782760813,-0.02034356722377012
0,95,0.9956094467695648,1,106094.37258183454,-0.015514929101967069
0,96,0.9955098858248879,1,106546.49346104504,-0.011319548659138156
0,97,0.9954103348363054,2,104678.29759501015,-0.02865516123563102
0,98,0.9953107938028217,0,102311.93645484501,-0.05061341555349211
0,99,0.9952112627234414,1,102311.93645484501,0.0
0,100,0.9951117415971691,2,102332.39884213598,0.0
0,101,0.9950122304230093,0,104482.77515919205,0.021013641245460964
0,102,0.9949127291999671,1,103285.2065765773,0.00931090979222695
0,103,0.9948132379270471,1,99386.55190288485,-0.02878704078652129
0,104,0.9947137566032545,1,104019.48058362336,0.016486291346399166
0,105,0.9946142852275941,1,101711.75861684681,-0.006064943579077117
0,106,0.9945148237990713,2,102472.25974467101,0.0013667313980471455
0,107,0.9944153723166914,0,103809.68069234659,0.014436110820479756
0,108,0.9943159307794598,2,105321.94057440228,0.029214029633744264
0,109,0.9942164991863819,2,106335.9363865184,0.03912287398401077
0,110,0.9941170775364633,1,106939.09186462214,0.04501695528111986
0,111,0.9940176658287097,3,104856.18119758628,0.02467246051986281
0,112,0.9939182640621268,3,104856.18119758628,0.0
0,113,0.9938188722357206,2,104877.1524338258,0.0
