episode,step,epsilon,action,equity,reward
0,21,1.0,0,100000.0,0.0
0,22,1.0,0,100000.0,0.0
0,23,1.0,1,99980.0,0.0
0,24,1.0,3,102753.77190115886,0.027743267665121658
0,25,1.0,0,102753.77190115886,0.0
0,26,1.0,3,102753.77190115886,0.0
0,27,1.0,2,308240.76494909637,1.9992001599680065
0,28,1.0,0,97370.94622196634,-0.05259619403788346
0,29,1.0,2,97370.94622196634,0.0
0,30,1.0,2,292093.3644766546,1.999200159968006
0,31,1.0,2,294270.27237011684,2.0215525421044696
0,32,1.0,0,295848.5348837034,2.0377580632113985
0,33,1.0,3,96706.85483872671,-0.007021625438332062
0,34,1.0,2,96706.85483872671,0.0
0,35,1.0,0,96706.85483872671,0.0
0,36,1.0,1,96687.51346775897,0.0
0,37,1.0,3,94317.98826618741,-0.024507044566428784
0,38,1.0,1,94317.98826618741,0.0
0,39,1.0,2,282935.101200909,1.9992001599680063
0,40,1.0,2,282003.10194561776,1.9893206776991212
0,41,1.0,3,90276.39789147871,-0.04305929653784829
0,42,1.0,2,90276.39789147871,0.0
0,43,1.0,1,90258.34261190041,0.0
0,44,1.0,0,89326.64805524032,-0.010322531188792838
0,45,1.0,0,87618.53037057992,-0.029247293545720875
0,46,1.0,2,90549.50481979526,0.0032258758522389804
0,47,1.0,2,91131.819809199,0.009677523118881471
0,48,1.0,0,88191.14560888539,-0.02290311281145184
0,49,1.0,2,88996.66799018055,-0.013978482046196106
0,50,1.0,3,90036.52381526114,-0.0024575988237792662
0,51,1.0,2,90036.52381526114,0.0
0,52,0.9995,3,90036.52381526114,0.0
0,53,0.9990002500000001,1,90018.51651049808,0.0
0,54,0.9985007498750001,3,94235.05408728246,0.04684078054421883
0,55,0.9980014995000627,1,94235.05408728246,0.0
0,56,0.9975024987503127,3,94235.05408728246,0.0
0,57,0.9970037475009376,0,94235.05408728246,0.0
0,58,0.9965052456271871,2,282686.3152510299,1.9992001599680056
0,59,0.9960069930043736,0,285870.07327608013,2.0329786878374945
0,60,0.9955089895078715,3,92273.80978918354,-0.021016461714589842
0,61,0.9950112350131176,3,92273.80978918354,0.0
0,62,0.9945137293956111,1,92255.3550272257,0.0
0,63,0.9940164725309134,3,92639.94806851653,0.004168788263590081
0,64,0.993519464294648,0,92639.94806851653,0.0
0,65,0.9930227045625007,2,277901.31621593586,1.9992001599680054
0,66,0.9925261932102195,3,92791.67455949393,0.0014380960824202794
0,67,0.9920299301136144,2,92791.67455949393,0.0
0,68,0.9915339151485576,0,92791.67455949393,0.0
0,69,0.9910381481909833,3,92791.67455949393,0.0
0,70,0.990542629116888,0,92791.67455949393,0.0
0,71,0.9900473578023296,1,92773.11622458203,0.0
0,72,0.9895523341234285,3,91080.96751912191,-0.01823964499978442
0,73,0.9890575579563669,3,91080.96751912191,0.0
0,74,0.9885630291773887,0,91080.96751912191,0.0
0,75,0.9880687476628001,2,273224.6863638619,1.9992001599680058
0,76,0.9875747132889687,3,91038.76327404453,-0.0006635033282178174
0,77,0.9870809259323243,3,91038.76327404453,0.0
0,78,0.9865873854693582,1,91020.55552138972,0.0
0,79,0.9860940917766235,3,91183.85639882322,0.001794109874391258
0,80,0.9856010447307353,0,91183.85639882322,0.0
0,81,0.98510824420837,0,91183.85639882322,0.0
0,82,0.9846156900862658,3,91183.85639882322,0.0
0,83,0.9841233822412228,2,273533.3324251899,1.9992001599680065
0,84,0.9836313205501022,3,93191.8187057924,0.021825393649693964
0,85,0.9831395048898272,0,93191.8187057924,0.0
0,86,0.9826479351373822,2,279556.81775363605,1.9992001599680065
0,87,0.9821566111698136,2,279526.1221088902,1.9988708445058696
0,88,0.9816655328642288,1,278625.4912162247,1.9892085070280727
0,89,0.9811747000977967,0,279556.81775363605,1.9992001599680065
0,90,0.9806841127477479,0,277581.6007276793,1.978009221868827
0,91,0.9801937706913741,1,278564.0899864335,1.9885497694601906
0,92,0.9797036738060285,2,274675.0472240118,1.9468265241861058
0,93,0.9792138219691255,1,272290.4588452159,1.9212436823702241
0,94,0.978724215058141,1,273180.8412891337,1.9307960702879616
0,95,0.978234852950612,1,274900.2049471782,1.9492421085555551
0,96,0.9777457355241367,2,275626.8408380202,1.9570377563153332
0,97,0.9772568626563747,2,275903.1712228289,1.9600023419798211
0,98,0.9767682342250465,3,97532.03857157388,0.04638224740397633
0,99,0.976279850107934,0,97532.03857157388,0.0
0,100,0.9757917101828801,0,97532.03857157388,0.0
0,101,0.9753038143277888,3,97532.03857157388,0.0
0,102,0.974816162420625,1,97512.53216385956,0.0
0,103,0.9743287543394147,0,98087.91676538296,0.005900622091902279
0,104,0.973841589962245,2,98543.88430875304,0.01057661125198142
0,105,0.973354669167264,0,96506.48694519725,-0.010317086392257376
0,106,0.9728679918326804,2,95140.88302755302,-0.024321480364403174
0,107,0.972381557836764,1,93400.84204721345,-0.04216576090688379
0,108,0.9718953670578457,3,93679.45879074359,-0.03930852053636443
0,109,0.9714094193743169,3,93679.45879074359,0.0
0,110,0.9709237146646298,0,93679.45879074359,0.0
0,111,0.9704382528072976,0,93679.45879074359,0.0
0,112,0.9699530336808939,3,93679.45879074359,0.0
0,113,0.9694680571640535,2,281019.64048047265,1.999200159968007
0,114,0.9689833231354715,2,279160.2134574516,1.9793553056533455
0,115,0.9684988314739038,3,96469.16613792574,0.029585202523074068
0,116,0.9680145820581669,2,96469.16613792574,0.0
0,117,0.9675305747671379,0,96469.16613792574,0.0
0,118,0.9670468094797544,2,289388.2045805496,1.9992001599680063
0,119,0.9665632860750146,3,99954.44549582913,0.03593561548455236
0,120,0.9660800044319772,0,99954.44549582913,0.0
0,121,0.9655969644297613,1,99934.45460672997,0.0
0,122,0.9651141659475465,0,99346.22712133722,-0.0058861329429133495
0,123,0.9646316088645728,3,98814.95748290824,-0.011202313838878295
0,124,0.9641492930601405,3,98814.95748290824,0.0
0,125,0.9636672184136105,0,98814.95748290824,0.0
0,126,0.9631853848044037,0,98814.95748290824,0.0
0,127,0.9627037921120016,1,98795.19449141166,0.0
0,128,0.9622224402159457,0,96382.47939733164,-0.024421381085390336
0,129,0.9617413289958378,3,95390.72313370692,-0.03445988820843599
0,130,0.9612604583313399,0,95390.72313370692,0.0
0,131,0.9607798281021742,0,95390.72313370692,0.0
0,132,0.9602994381881231,1,95371.64498908019,0.0
0,133,0.9598192884690291,2,98159.89615477952,0.029235640907930002
0,134,0.9593393788247946,0,95464.58118576664,0.0009744636018084156
0,135,0.9588597091353822,3,95578.23951388628,0.002166204901150058
0,136,0.9583802792808146,1,95578.23951388628,0.0
0,137,0.9579010891411742,0,95578.23951388628,0.0
0,138,0.9574221385966036,1,95559.1238659835,0.0
0,139,0.9569434275273054,3,95014.34908153466,-0.005700918576993912
0,140,0.9564649558135419,2,95014.34908153466,0.0
0,141,0.9559867233356352,1,94995.34621171835,0.0
0,142,0.9555087299739674,0,93454.60635847067,-0.016219108774168756
0,143,0.9550309756089804,0,94098.6857862911,-0.009438993184243419
0,144,0.954553460121176,0,92696.86941158447,-0.024195677912591765
0,145,0.9540761833911156,2,92128.55763251836,-0.030178200233206248
0,146,0.95359914529942,0,92835.78684419123,-0.022733317511302736
0,147,0.9531223457267703,3,92034.37338104217,-0.03116966197561924
0,148,0.952645784553907,0,92034.37338104217,0.0
0,149,0.9521694616616301,0,92034.37338104217,0.0
0,150,0.9516933769307994,2,276084.7132684503,1.9992001599680063
0,151,0.951217530242334,1,279369.6065632461,2.0348850495027984
0,152,0.9507419214772129,3,89826.70203927641,-0.02419230380292705
0,153,0.9502665505164744,1,89826.70203927641,0.0
0,154,0.9497914172412162,3,89826.70203927641,0.0
0,155,0.9493165215325956,1,89808.73669886855,0.0
0,156,0.9488418632718294,1,92386.98677161007,0.02870823226682799
0,157,0.9483674423401935,2,93326.96460314139,0.039174673128623994
0,158,0.9478932586190235,1,96885.47414915719,0.07879787324051953
0,159,0.9474193119897141,3,96315.64211087613,0.0724529221898024
0,160,0.9469456023337193,2,96315.64211087613,0.0
0,161,0.9464721295325524,0,96315.64211087613,0.0
0,162,0.9459988934677862,3,96315.64211087613,0.0
